severity,id,message,evidence,lines,stage_order,line
INFO,STREAMING_DENSITY,g/h are TCLB AddDensity streaming groups; do not treat them as explicit current arrays.,"[{""name"": ""g0"", ""dx"": 0, ""dy"": 0, ""dz"": 0, ""group"": ""g"", ""streams"": false, ""line"": 1}, {""name"": ""g1"", ""dx"": 1, ""dy"": 0, ""dz"": 0, ""group"": ""g"", ""streams"": true, ""line"": 2}, {""name"": ""g2"", ""dx"": -1, ""dy"": 0, ""dz"": 0, ""group"": ""g"", ""streams"": true, ""line"": 3}, {""name"": ""g3"", ""dx"": 0, ""dy"": 1, ""dz"": 0, ""group"": ""g"", ""streams"": true, ""line"": 4}, {""name"": ""g4"", ""dx"": 0, ""dy"": -1, ""dz"": 0, ""group"": ""g"", ""streams"": true, ""line"": 5}, {""name"": ""g5"", ""dx"": 0, ""dy"": 0, ""dz"": 1, ""group"": ""g"", ""streams"": true, ""line"": 6}]",,,
CHECK,OCCURS_STAGE13_PHASE_FOR_STENCIL,STAGE13_PHASE_FOR_STENCIL appears in source and must be traced through producer/consumer stages.,,"[130, 560, 561, 562, 563, 564, 565, 566, 567, 568, 569, 572, 573, 574, 575, 576, 577, 578, 579, 580]",,
CHECK,OCCURS_WallGhost,WallGhost appears in source and must be traced through producer/consumer stages.,,"[103, 131, 2865, 2866, 2868, 2869, 2871, 2872, 2874, 2875, 3186, 3341, 3342, 3343, 3344, 3350, 3366, 3367, 3368, 3369]",,
CHECK,OCCURS_PhaseF_=_-999,PhaseF = -999 appears in source and must be traced through producer/consumer stages.,,"[841, 905]",,
CHECK,OCCURS_IsBoundary,IsBoundary appears in source and must be traced through producer/consumer stages.,,"[131, 360, 361, 362, 363, 364, 365, 366, 386, 404, 528, 530, 531, 532, 1133, 2327, 2328, 2330, 3174, 3186]",,
CHECK,WALL_BEFORE_ITER,calcWall_CA/calcWall stage exists before BaseIter in Dynamics.R order; verify fields loaded by BaseIter consume the intended wall ghost time level.,,,"[""PhaseInit"", ""BaseInit"", ""calcPhase"", ""BaseIter"", ""InitFromFieldsStage"", ""WallInit_CA"", ""calcWall_CA"", ""calcPhaseGrad"", ""calcPhaseGrad_init"", ""calcWallPhase_correction"", ""WallInit"", ""calcWall"", ""calcWallPhase_correction"", ""CopyDistributions"", ""CopyThermal"", ""RK_1"", ""RK_2"", ""RK_3"", ""RK_4"", ""NonLocalTemp""]",
CHECK,FUNCTION_calcGradPhi,calcGradPhi is present; inspect its field reads/writes when changing wetting semantics.,,,,598
CHECK,FUNCTION_calcMu,calcMu is present; inspect its field reads/writes when changing wetting semantics.,,,,637
CHECK,FUNCTION_calcPhaseF,calcPhaseF is present; inspect its field reads/writes when changing wetting semantics.,,,,620
CHECK,FUNCTION_Run,Run is present; inspect its field reads/writes when changing wetting semantics.,,,,1131
CHECK,FUNCTION_BounceBack,BounceBack is present; inspect its field reads/writes when changing wetting semantics.,,,,1956
CHECK,FUNCTION_calcWallPhase,calcWallPhase is present; inspect its field reads/writes when changing wetting semantics.,,,,3379
HIGH,SPECIAL_POINT_MAGIC,Special-point magic values are present; confirm they cannot enter grad/laplace/mu stencils.,,[1999],,
