name,line,rest
Density_h,484,", comment='High density'"
Density_l,485,", comment='Low  density'"
PhaseField_h,486,", default=1, comment='PhaseField in Liquid'"
PhaseField_l,487,", default=0, comment='PhaseField gas'"
PhaseField,488,", 	   comment='Initial PhaseField distribution', zonal=T"
IntWidth,489,", default=4,    comment='Anti-diffusivity coeff'"
omega_phi,490,", comment='one over relaxation time (phase field"
M,491,", omega_phi='1.0/(3*M+0.5"
sigma,492,", comment='surface tension'"
force_fixed_iterator,493,", default=2, comment='to resolve implicit relation of viscous force'"
ForceFixedTol,494,", default=0.0, comment='Stage13 force fixed-point residual tolerance; <=0 preserves fixed-count iteration'"
ForceFixedMaxIter,495,", default=2, comment='Stage13 force fixed-point maximum iterations used when ForceFixedTol>0'"
ReplayDiagnosticsMode,496,", default=0, comment='S1/S2 output-only replay diagnostics: 0 zeroed, 1 write collision intermediate fields'"
PhaseValidityEps,497,", default=1e-3, comment='Stage14/S2: tolerance for accepting PhaseF/WallGhost as physical stencil input'"
PhaseAdvectionVelocityMode,498,", default=0, comment='Stage14 diagnostic: 0 legacy h-equilibrium uses post-force velocity, 1 MRT h-equilibrium uses pre-force m0 velocity'"
MomentumForceMode,499,", default=0, comment='Stage14 diagnostic: 0 legacy, 1 omit F_mu, 2 omit F_pressure, 3 omit F_surf, 4 no momentum force, 5 surface-only momentum force'"
Washburn_start,500,", default=""0"", comment='Start of washburn gas phase'"
Washburn_end,501,", default=""0"", comment='End of washburn gas phase'"
radAngle,502,", default='1.570796', comment='Contact angle in radians, can use units -> 90d where d=2pi/360', zonal=T"
minGradient,503,", default='1e-8', comment='if the phase gradient is less than this, set phase normals to zero'"
AnalyticWetting,510,", default=0, comment='Stage9: 1 enables analytic-geometry wetting BC on analytic zones'"
AnalyticSolidType,511,", default=0, comment='Stage9: 0 off, 1 plane, 2 infinite cylinder, 3 sphere'"
AnalyticSolidCenterX,512,", default=0.0, comment='Stage9: solid center x (cylinder/sphere"
AnalyticSolidCenterY,513,", default=0.0, comment='Stage9: solid center y (cylinder/sphere"
AnalyticSolidCenterZ,514,", default=0.0, comment='Stage9: solid center z (cylinder/sphere"
AnalyticSolidRadius,515,", default=0.0, comment='Stage9: solid radius (cylinder/sphere"
AnalyticSolidAxis,516,", default=2, comment='Stage9: plane normal / cylinder axis: 0=x, 1=y, 2=z'"
AnalyticSolidPlaneOffset,517,", default=0.0, comment='Stage9: plane offset along axis (plane only"
WettingBCMode,518,", default=0, comment='Stage13 analytic wetting BC mode: 0 legacy Briant/Jacqmin, 1 geometric tangent/curvature diagnostic'"
WallCompactStencilMode,519,", default=0, comment='Stage13 compact-stencil wetting mode: 0 off, 1 shadow only, 2 write after gate'"
WallCompactStencilNormalMode,520,", default=1, comment='Stage13 compact-stencil normal mode: only 1 analytic signed-distance normal is implemented; other modes reject compact writes'"
WallCompactStencilMaxL,521,", default=3, comment='Stage13 compact-stencil seven-plane local search radius for shadow diagnostics'"
WallCompactStencilThetaEps,522,", default=1e-6, comment='Stage13 compact-stencil neutral-angle epsilon in radians'"
WallCompactStencilBoundEps,523,", default=0.0, comment='Stage13 compact-stencil q bound tolerance; strict write keeps q_s inside physical [0,1]'"
WallCompactStencilMaxBoundedDelta,524,", default=1e-8, comment='Stage13 compact-stencil write gate: max allowed |q_s_bounded-q_s_raw|'"
WallCompactStencilAppliedResidualTol,525,", default=1e-8, comment='Stage13 compact-stencil write gate: max residual after applying bounded q_s'"
WallCompactStencilWriteAllowedFlag,526,", default=0, comment='Stage13 hard gate: compact-stencil writes are blocked unless explicitly enabled'"
PhaseEquationMode,527,", default=0, comment='Stage13 reserved: 0 legacy phase equation; mass correction inactive until Stage E'"
WallGradMode,529,", default=0, comment='Layer1 Wang corrected gradient: 0 off, 1 shadow, 2 write'"
WallGradContactSign,530,", default=1.0, comment='Layer1: contact angle sign +1 or -1'"
WallGradCapFactor,531,", default=2.0, comment='Layer1: corrected gradient magnitude cap factor'"
WallGradContactLineEps,532,", default=0.02, comment='Layer1: skip nodes where q<eps or q>1-eps'"
WallMuMode,533,", default=0, comment='Layer2 Ju wall-mu source: 0 off, 1 shadow, 2 write'"
WallMuScale,534,", default=1.0, comment='Layer2: mu_wall scaling factor'"
WallMuContactLineEps,535,", default=0.02, comment='Layer2: skip nodes where q<eps or q>1-eps'"
DynamicCLMode,541,", default=0, comment='Layer3 DynamicCL: 0 off, 1 shadow diagnostics, 2 add residual CL force (reserved 15C"
DynamicCLCoeff,542,", default=0.0, comment='Layer3: residual contact-line force coefficient'"
DynamicCLForceCap,543,", default=0.02, comment='Layer3: force cap in units of sigma/IntWidth'"
